Student,Score (%)
UNKNOWN STUDENT,61.749745731625985
UNKNOWN STUDENT,90.71363545418168
UNKNOWN STUDENT,68.86702940503986
UNKNOWN STUDENT,100.0
UNKNOWN STUDENT,72.47874149659859
UNKNOWN STUDENT,87.95068027210885
UNKNOWN STUDENT,85.82558719835463
UNKNOWN STUDENT,65.98184963640628
UNKNOWN STUDENT,64.89543034605147
UNKNOWN STUDENT,89.01323447948931
UNKNOWN STUDENT,75.05475801431683
UNKNOWN STUDENT,67.37320624597366
UNKNOWN STUDENT,81.03994708994708
UNKNOWN STUDENT,86.18067375889697
UNKNOWN STUDENT,83.36968487819706
UNKNOWN STUDENT,86.56887755102042
UNKNOWN STUDENT,83.70131753125828
